"ID","Rating"
1,5
2,4
3,4
4,5
5,5
6,4
7,5
8,4
9,3
10,4
11,1
12,3
13,3
14,3
15,2
16,4
17,4
18,3
19,1
20,3
21,5
22,4
23,4
24,4
25,5
26,4
27,3
28,4
29,4
30,3
31,4
32,4
33,4
34,4
35,4
36,3
37,4
38,3
39,5
40,4
41,3
42,4
43,5
44,4
45,4
46,4
47,3
48,3
49,4
50,4
51,4
52,2
53,3
54,5
55,4
56,2
57,3
58,3
59,3
60,2
61,2
62,4
63,3
64,3
65,3
66,3
67,4
68,4
69,4
70,5
71,4
72,5
73,4
74,5
75,3
76,4
77,5
78,4
79,5
80,3
81,3
82,4
83,2
84,5
85,4
86,4
87,1
88,1
89,3
90,5
91,5
92,4
93,3
94,3
95,5
96,4
97,3
98,4
99,3
100,1
101,5
102,4
103,4
104,1
105,5
106,5
107,4
108,5
109,2
110,3
111,5
112,4
113,5
114,2
115,4
116,5
117,5
118,4
119,5
120,3
121,4
122,4
123,2
124,3
125,4
126,5
127,4
128,4
129,3
130,5
131,3
132,4
133,3
134,2
135,3
136,4
137,5
138,1
139,4
140,4
141,3
142,4
143,2
144,4
145,4
146,4
147,3
148,4
149,4
150,4
151,5
152,4
153,4
154,3
155,4
156,3
157,4
158,3
159,3
160,3
161,4
162,3
163,4
164,2
165,2
166,4
167,3
168,4
169,4
170,2
171,5
172,3
173,4
174,2
175,3
176,5
177,2
178,4
179,5
180,3
181,4
182,5
183,2
184,3
185,5
186,4
187,3
188,4
189,3
190,4
191,3
192,2
193,3
194,4
195,2
196,4
197,3
198,3
199,3
200,4
201,4
202,3
203,3
204,4
205,2
206,1
207,4
208,3
209,4
210,2
211,5
212,5
213,2
214,3
215,3
216,5
217,5
218,4
219,4
220,4
221,4
222,3
223,1
224,5
225,4
226,2
227,1
228,3
229,4
230,5
231,4
232,5
233,5
234,4
235,5
236,5
237,5
238,2
239,4
240,3
241,4
242,1
243,5
244,4
245,3
246,4
247,4
248,1
249,3
250,4
251,1
252,5
253,5
254,4
255,3
256,5
257,3
258,2
259,2
260,5
261,2
262,4
263,5
264,4
265,3
266,2
267,1
268,2
269,4
270,5
271,4
272,3
273,5
274,5
275,4
276,5
277,4
278,3
279,4
280,5
281,4
282,4
283,4
284,4
285,4
286,2
287,2
288,4
289,1
290,1
291,5
292,4
293,5
294,4
295,4
296,2
297,3
298,4
299,4
300,3
301,3
302,3
303,4
304,4
305,5
306,4
307,5
308,4
309,4
310,3
311,5
312,2
313,3
314,3
315,4
316,4
317,2
318,2
319,3
320,2
321,4
322,4
323,3
324,5
325,3
326,2
327,4
328,4
329,3
330,2
331,5
332,5
333,4
334,3
335,2
336,3
337,3
338,4
339,1
340,5
341,3
